Symbol,Name,CIK,Sector,Industry,MarketCapitalization,EBITDA,PERatio
ABBV,AbbVie Inc,1551152,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,288828162000,29801001000,21.78
ABC,AmerisourceBergen,1140859,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",34238075000,3489651000,21.07
ABCB,Ameris Bancorp,351569,FINANCE,STATE COMMERCIAL BANKS,3319172000,None,9.61
ABCL,Abcellera Biologics Inc,1703057,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2955413000,353871000,12.91
ABCM,Abcam PLC,1492074,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",3542252000,77300000,193.12
ABEO,Abeona Therapeutics Inc,318306,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,42939500,-44286000,0.0646
ABEV,Ambev SA ADR,1565025,MANUFACTURING,BEVERAGES,44391309000,21396556000,17.62
ABG,Asbury Automotive Group Inc,1144980,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,3740715000,1270700000,4.705
ABGI,ABG Acquisition I Corp,1833764,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,194679000,None,1007
ABIO,ARCA Biopharma Inc,907654,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,33863700,-13918000,None
ABM,ABM Industries Incorporated,771497,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,2892805000,462000000,12.82
ABMD,ABIOMED Inc,815094,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,17180649000,274184000,65.36
ABNB,Airbnb Inc,1559720,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,53978341000,1683518000,36.28
ABOS,Acumen Pharmaceuticals Inc,1576885,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",213221000,-39381000,4.378
ABR,Arbor Realty Trust,1253986,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2334441000,None,7.16
ABSI,Absci Corp,1672688,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,200497000,-99703000,None
ABST,Absolute Software Corporation,1071058,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,511621000,7380000,None
ABT,Abbott Laboratories,1800,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,188619407000,13688001000,24.42
ABUS,Arbutus Biopharma Corp,1447028,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,373956000,-61326000,None
ABVC,ABVC Biopharma Inc,1173313,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,22516300,-18407944,None
AC,Associated Capital Group Inc,1642122,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",906491000,-11936000,36.79
ACA,Arcosa Inc,1739445,MANUFACTURING,FABRICATED STRUCTURAL METAL PRODUCTS,2692862000,318300000,27.03
ACAB,Atlantic Coastal Acquisition Corp II,1893219,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,381375000,None,None
ACAC,Acies Acquisition Corp,1914023,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,109753000,None,None
ACAD,ACADIA Pharmaceuticals Inc,1070494,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2505073000,-220118000,None
ACAH,Atlantic Coastal Acquisition Corp,1836274,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,431250000,None,166.67
ACAQ,Athena Consumer Acquisition Corp,1869141,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,333302000,None,None
ACAX,Alset Capital Acquisition Corp,1897245,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,112775000,None,None
ACB,Aurora Cannabis Inc,1683541,LIFE SCIENCES,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,301539000,-169892992,None
ACBA,Ace Global Business Acquisition Ltd,1844389,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,64354000,None,None
ACCD,Accolade Inc,1481646,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",600690000,-125868000,None
ACCO,Acco Brands Corporation,712034,MANUFACTURING,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK",523148000,235000000,25.23
ACDC,ProFrac Holding Corp.,1881487,ENERGY & TRANSPORTATION,"OIL & GAS FIELD SERVICES, NEC",1359225000,554612000,114.5
ACDI,Ascendant Digital Acquisition III Corp,1850316,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,386250000,None,None
ACEL,Accel Entertainment Inc,1698991,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,662126000,135989000,10.09
ACER,Acer Therapeutics Inc,1069308,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,72584000,-23698394,None
ACET,Adicet Bio Inc,1720580,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,339811000,-55627000,None
ACGL,Arch Capital Group Ltd,947484,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",23246516000,1278628000,19.76
ACHC,Acadia Healthcare Company Inc,1520697,LIFE SCIENCES,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",7551067000,551855000,27.04
ACHL,Achilles Therapeutics PLC ADR,1830749,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",32755100,-70313000,0.126
ACHR,Archer Aviation Inc,1824502,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,437931000,-272500000,4.39
ACHV,Achieve Life Sciences Inc,949858,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,44742500,-36820000,None
ACI,Albertsons Companies,1646972,TRADE & SERVICES,RETAIL-GROCERY STORES,11305944000,4293700000,7.36
ACIU,AC Immune Ltd,1651625,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,146808000,-73865000,None
ACIW,ACI Worldwide Inc,935036,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,2468857000,281412000,15.92
ACLS,Axcelis Technologies Inc,1113232,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",2636757000,208995000,17.19
ACLX,Arcellx Inc,1786205,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1402009000,-170718000,None
ACM,Aecom Technology Corporation,868857,TRADE & SERVICES,SERVICES-ENGINEERING SERVICES,12060863000,862451000,None
ACMR,Acm Research Inc,1680062,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",447141000,66351000,12.97
ACN,Accenture plc,1467373,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",167702692000,10576087000,24.17
ACNB,ACNB Corporation,715579,FINANCE,STATE COMMERCIAL BANKS,346800000,None,11.74
ACNT,Synalloy Corporation,95953,MANUFACTURING,STEEL PIPE & TUBES,86720000,50713000,2.941
ACON,Aclarion Inc,1635077,LIFE SCIENCES,SERVICES-MEDICAL LABORATORIES,3754300,-5649001,None
ACOR,Acorda Therapeutics Inc,1008848,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",12840600,-11889000,None
ACQR,Independence Holdings Corp,1837393,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,625465000,None,32.55
ACR,Acres Commercial Realty Corp,1332551,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,67879000,None,14.62
ACRE,Ares Commercial Real Estate,1529377,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,595602000,None,12.29
ACRO,Acropolis Infrastructure Acquisition Corp,1847891,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,426092000,None,None
ACRS,Aclaris Therapeutics Inc,1557746,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1000915000,-82167000,None
ACRV,Acrivon Therapeutics Inc. Common Stock,1781174,TECHNOLOGY,GENERAL,243309000,-26730000,None
ACRX,AcelRx Pharmaceuticals Inc,1427925,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,15420200,-30208000,0.311
ACST,Acasti Pharma Inc,1444192,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,24610900,-14697000,None
ACT,Enact Holdings Inc,1823529,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE",3893576000,None,5.46
ACT,Enact Holdings Inc,1823529,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE",3893576000,None,5.46
ACTG,Acacia Research Corporation,934549,REAL ESTATE & CONSTRUCTION,PATENT OWNERS & LESSORS,173290000,19843000,7.96
ACVA,ACV Auctions Inc,1637873,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",1235659000,-95568000,None
ACXP,Acurx Pharmaceuticals LLC,1736243,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,45558900,None,None
ADAG,Adagene Inc,1818838,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,54713000,-81676016,None
ADAL,Anthemis Digital Acquisitions I Corp,1853928,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,309120000,None,None
ADAP,Adaptimmune Therapeutics Plc,1621227,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",224446000,-172715008,None
ADBE,Adobe Systems Incorporated,796343,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,157345415000,6952667000,33.98
ADC,Agree Realty Corporation,917251,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,6274258000,357670000,38.56
ADCT,Adc Therapeutics SA,1771910,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,273311000,-174488000,None
ADD,Color Star Technology Co. Ltd.,1747661,REAL ESTATE & CONSTRUCTION,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,5255800,-73001600,None
ADEA,ADEIA CORP,1803696,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,995959000,249151000,None
ADER,26 Capital Acquisition Corp,1822912,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,347875000,None,38.92
ADES,Advanced Emissions Solutions Inc,1515156,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,43572900,-2093000,2.28
ADEX,Adit EdTech Acquisition Cor,1830029,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,348967000,None,59.5
ADI,Analog Devices Inc,6281,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,83397222000,6118232000,31.19
ADIL,Adial Pharmaceuticals Inc,1513525,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,5934700,-14453626,None
ADM,Archer-Daniels-Midland Company,7084,MANUFACTURING,FATS & OILS,51977986000,5277000000,13.05
ADMA,ADMA Biologics Inc,1368514,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",806296000,-39803512,None
ADMP,Adamis Pharma,887247,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,23982300,-27158304,None
ADN,Advent Technologies Holdings Inc,1744494,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,92575000,-49033344,None
ADNT,Adient PLC,1670541,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,3240356000,591000000,4.335
ADOC,Edoc Acquisition Corp,1824884,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,50673000,None,None
ADP,Automatic Data Processing Inc,8670,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,99948659000,4503700000,33.37
ADPT,Adaptive Biotechnologies Corp,1478320,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1111203000,-202112992,None
ADSE,Ads Tec Energy PLC,1879248,MANUFACTURING,MISCELLANEOUS TRANSPORTATION EQUIPMENT,156673000,-36201000,None
ADSK,Autodesk Inc,769397,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,40598721000,1035100000,67.93
ADT,ADT Inc,1703056,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",8367357000,2308536000,None
ADTH,AdTheorent Holding Company Inc,1838672,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",134699000,-6349000,3.444
ADTN,ADTRAN Inc,926282,MANUFACTURING,TELEPHONE & TELEGRAPH APPARATUS,1459155000,10888000,None
ADTX,Aditxt Inc. ,1726711,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,4993400,-26374260,None
ADUS,Addus HomeCare Corporation,1468328,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,1626506000,90643000,37.12
ADV,Advantage Solutions Inc,1776661,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",597809000,458830000,8.5
ADVM,Adverum Biotechnologies Inc,1501756,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",57544000,-144788992,None
ADXN,Addex Therapeutics Ltd,1574232,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,12975300,-21509952,None
AEAC,Authentic Equity Acquisition Corp,1827392,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,302700000,None,24.61
AEAE,Altenergy Acquisition Corp,1852016,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,291812000,None,7.95
AEE,Ameren Corp,1002910,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,23145474000,2882000000,22.44
AEFC,AEFC,769218,FINANCE,LIFE INSURANCE,None,None,None
AEG,Aegon NV ADR,769218,FINANCE,LIFE INSURANCE,10142779000,-501000000,16.03
AEHA,Aesther Healthcare Acquisition Corp,1869974,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,137408000,None,None
AEHL,Antelope Enterprise Holdings Ltd,1470683,MANUFACTURING,STRUCTURAL CLAY PRODUCTS,3306300,-55446000,None
AEHR,Aehr Test Systems,1040470,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,576854000,9574000,69.93
AEI,Alset Ehome International Inc,1750106,REAL ESTATE & CONSTRUCTION,REAL ESTATE,24503700,-14727314,0.825
AEIS,Advanced Energy Industries Inc,927003,MANUFACTURING,"ELECTRONIC COMPONENTS, NEC",3129713000,283706000,16.1
AEL,American Equity Investment Life Holding Co,1039828,FINANCE,LIFE INSURANCE,3924308000,1747267000,3.313
AEM,Agnico Eagle Mines Limited,2809,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,23553227000,2369880000,36.37
AEMD,Aethlon Medical Inc,882291,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,5759500,-12760469,None
AENZ,Aenza SAA,1572621,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,239299000,496576000,None
AEO,American Eagle Outfitters Inc,919012,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,2704269000,464070000,23.66
AEP,American Electric Power Company Inc,4904,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,49171649000,7076300000,19.85
AER,AerCap Holdings NV,1378789,TRADE & SERVICES,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",13936478000,3075868000,None
AERC,Aeroclean Technologies LLC,1872356,TECHNOLOGY,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,48815200,-14276823,None
AES,The AES Corporation,874761,ENERGY & TRANSPORTATION,COGENERATION SERVICES & SMALL POWER PRODUCERS,19156808000,3440000000,None
AESC,AES Corp Unit,874761,ENERGY & TRANSPORTATION,COGENERATION SERVICES & SMALL POWER PRODUCERS,None,3440000000,None
AEVA,Aeva Technologies Inc,1789029,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,277153000,-136784992,None
AEY,ADDvantage Technologies Group Inc,874292,TRADE & SERVICES,WHOLESALE-DURABLE GOODS,20188200,-2851000,None
AEYE,AudioEye Inc,1362190,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,44308500,-9106000,None
AEZS,Aeterna Zentaris Inc,1113423,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,15660200,-14357000,None
AFAQ,AF Acquisition Corp,1841661,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,280560000,None,50.1
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,1901886,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,148088000,None,None
AFBI,Affinity Bancshares Inc,1823406,FINANCE,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",96461000,None,14.4
AFCG,AFC Gamma Inc,1822523,REAL ESTATE & CONSTRUCTION,REAL ESTATE,336413000,None,7.9
AFG,American Financial Group Inc,1042046,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",11734479000,1426000000,12.03
AFGB,American Financial Group Inc,1042046,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",None,None,None
AFGC,American Financial Group Inc,1042046,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",21677900,None,None
AFGD,American Financial Group Inc,1042046,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",None,717000000,None
AFGE,American Financial Group AFGE,1042046,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",9874970000,None,None
AFIB,Acutus Medical Inc,1522860,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,28736700,-102651000,None
AFL,Aflac Inc,4977,FINANCE,ACCIDENT & HEALTH INSURANCE,45339976000,5588000000,9.18
AFMD,Affimed NV,1608390,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,172487000,-81228000,None
AFRI,Forafric Global PLC Ordinary Shares,1903870,TECHNOLOGY,GENERAL,297781000,3077000,None
AFRM,Affirm Holdings Inc,1820953,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",2666479000,-824195968,None
AFTR,Afternext Healthtech Acquisition Corp,1865975,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,312500000,None,None
AFYA,Afya Ltd,1771007,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,1391318000,766385000,21.49
AG,First Majestic Silver Corp,1308648,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,2304201000,143092000,4340
AGAC,African Gold Acquisition Corp,1833909,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,519052000,None,48.22
AGAE,Allied Gaming & Entertainment Inc.,1708341,TRADE & SERVICES,SERVICES-AMUSEMENT & RECREATION SERVICES,39867200,-10963290,None
AGBA,AGBA Acquisition Ltd,1769624,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,113613000,None,1.095
AGCO,AGCO Corporation,880266,TECHNOLOGY,FARM MACHINERY & EQUIPMENT,10008827000,1372400000,11.85
AGEN,Agenus Inc,1098972,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",746789000,-171984992,9.8
AGFS,AgroFresh Solutions Inc,1592016,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,156505000,58077000,None
AGFY,Agrify Corp,1800637,LIFE SCIENCES,AGRICULTURAL SERVICES,3002300,-63631000,None
AGGR,Agile Growth Corp,1842329,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,390600000,None,336
AGI,Alamos Gold Inc,1178819,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,3930645000,307000000,166.5
AGIL,AgileThought Inc,1790625,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,211789000,-1148000,None
AGIO,Agios Pharm,1439222,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,1485161000,-385750016,None
AGL,agilon health Inc,1831097,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",6754418000,-82928000,None
AGLE,Aeglea Bio Therapeutics Inc,1636282,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,21596500,-84468000,None
AGM,Federal Agricultural Mortgage,845877,FINANCE,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,1204926000,None,9.0
AGMH,AGM Group Holdings Inc Class A,1705402,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,40020400,25626300,1.854
AGNC,AGNC Investment Corp,1423689,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,6122072000,None,None
AGO,Assured Guaranty Ltd,1273813,FINANCE,SURETY INSURANCE,3792852000,558000000,15.69
AGR,Avangrid Inc,1634997,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,16667361000,1945000000,18.66
AGRO,Adecoagro SA,1499505,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,920466000,381480000,5.68
AGRX,Agile Thrpe,1261249,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,7891400,-54896000,None
AGS,PlayAGS Inc,1593548,MANUFACTURING,MISCELLANEOUS MANUFACTURING INDUSTRIES,178601000,111848000,None
AGTC,Applied Genetic,1273636,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",26620000,-65574000,None
AGTI,Agiliti Inc,1749704,TRADE & SERVICES,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,2257412000,294082000,62.7
AGX,Argan Inc,100591,REAL ESTATE & CONSTRUCTION,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,494585000,42734000,24.29
AGYS,Agilysys Inc,78749,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,1952023000,13249000,243.38
AHCO,Adapthealth Corp,1725255,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,2624579000,583845000,30.44
AHG,Akso Health Group DRC,1702318,FINANCE,FINANCE LESSORS,9556700,-19577648,None
AHH,Armada Hflr Pr,1569187,REAL ESTATE & CONSTRUCTION,REAL ESTATE,1032706000,125016000,14.43
AHI,Advanced Human Imaging Ltd ADR,1815436,TECHNOLOGY,GENERAL,10114300,-19555690,None
AHPI,Allied Healthcare Products Inc,874710,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",3612200,-4128710,None
AHRN,Ahren Acquisition Corp,1856696,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,383248000,None,None
AHT,Ashford Hospitality Trust Inc,1232582,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,165452000,249222000,None
AI,C3 Ai Inc,1577526,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,1338448000,-245564992,None
AIB,AIB Acquisition Corp,1882963,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,114772000,None,None
AIC,Arlington Asset Investment Corp ELKS,1209028,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,618922000,None,None
AIG,American International Group Inc,5272,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",46361952000,23551001000,3.701
AIH,Aesthetic Medical Intl Holding Ltd,1757143,LIFE SCIENCES,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",38616800,-171080000,None
AIHS,Senmiao Technology Ltd,1711012,FINANCE,FINANCE SERVICES,6991400,-6181661,None
AIMC,Altra Holdings Inc,1374535,TECHNOLOGY,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",3885010000,354900000,229.27
AIN,Albany International Corporation,819793,MANUFACTURING,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",3058996000,255381000,29.45
AIN,Albany International Corporation,819793,MANUFACTURING,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",3058996000,255381000,29.45
AIP,Arteris Inc,1667011,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,143394000,-25123000,None
AIR,AAR Corp,1750,MANUFACTURING,AIRCRAFT & PARTS,1477779000,156200000,17.36
AIRC,Apartment Income REIT Corp,1820877,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,5153025000,447002000,5.64
AIRG,Airgain Inc,1272842,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,65737000,-6102000,None
AIRS,Airsculpt Technologies Inc,1870940,LIFE SCIENCES,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,186492000,-1850000,55.33
AIRT,Air T Inc,353184,ENERGY & TRANSPORTATION,AIR COURIER SERVICES,65765000,12666000,165.21
AIT,Applied Industrial Technologies,109563,TRADE & SERVICES,"WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES",4841172000,442368000,17.46
AIU,Meta Data Ltd,1722380,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,18085200,-2690446592,None
AIV,Apartment Investment and Management Co,922864,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,1109946000,169440000,4.112
AIZ,Assurant Inc,1267238,FINANCE,"INSURANCE CARRIERS, NEC",6605510000,719800000,20.46
